uf_abbr;municipality;direto;url_pagina;SIG_link
AL;Coruripe;0;https://rigeo.sgb.gov.br/handle/doc/14863;https://rigeo.sgb.gov.br/bitstream/doc/14863/3/sig_coruripe_al.zip
AL;Maceió;0;https://rigeo.sgb.gov.br/handle/doc/14864;https://rigeo.sgb.gov.br/bitstream/doc/14864/3/sig_maceio_al.zip
AL;Marechal Deodoro;0;https://rigeo.sgb.gov.br/handle/doc/14865;https://rigeo.sgb.gov.br/bitstream/doc/14865/3/sig_marechaldeodoro_al.zip
AL;Murici;0;https://rigeo.sgb.gov.br/handle/doc/14866;https://rigeo.sgb.gov.br/bitstream/doc/14866/5/sig_murici_al.zip
AL;Paripueira;0;https://rigeo.sgb.gov.br/handle/doc/14867;https://rigeo.sgb.gov.br/bitstream/doc/14867/3/sig_paripueira_al.zip
AL;União dos Palmares;0;https://rigeo.sgb.gov.br/handle/doc/14868;https://rigeo.sgb.gov.br/bitstream/doc/14868/3/sig_uniaodospalmares_al.zip
AP;Macapá;0;https://rigeo.sgb.gov.br/handle/doc/14872;https://rigeo.sgb.gov.br/bitstream/doc/14872/3/sig_macapa_ap_suscet.zip
AP;Santana;0;https://rigeo.sgb.gov.br/handle/doc/14873;https://rigeo.sgb.gov.br/bitstream/doc/14873/3/sig_santana_ap_suscet.zip
AM;Tefé;0;https://rigeo.sgb.gov.br/handle/doc/14874;https://rigeo.sgb.gov.br/bitstream/doc/14874/3/sig_tefe_am_suscet.zip
BA;Camacan;0;https://rigeo.sgb.gov.br/handle/doc/14875;https://rigeo.sgb.gov.br/bitstream/doc/14875/3/sig_camacan_ba.zip
BA;Candeias;0;https://rigeo.sgb.gov.br/handle/doc/14876;https://rigeo.sgb.gov.br/bitstream/doc/14876/3/sig_candeias_ba.zip
BA;Lauro de Freitas;0;https://rigeo.sgb.gov.br/handle/doc/14877;https://rigeo.sgb.gov.br/bitstream/doc/14877/3/sig_laurofreitas_ba.zip
BA;Nova Viçosa;0;https://rigeo.sgb.gov.br/handle/doc/14878;https://rigeo.sgb.gov.br/bitstream/doc/14878/3/sig_novavicosa_ba.zip
BA;Salvador;0;https://rigeo.sgb.gov.br/handle/doc/14879;https://rigeo.sgb.gov.br/bitstream/doc/14879/10/sig_salvador_ba.zip
BA;Senhor do Bonfim;0;https://rigeo.sgb.gov.br/handle/doc/14880;https://rigeo.sgb.gov.br/bitstream/doc/14880/4/sig_senhordobonfim_ba.zip
CE;Amontada;0;https://rigeo.sgb.gov.br/handle/doc/14881;https://rigeo.sgb.gov.br/bitstream/doc/14881/3/sig_amontada_ce.zip
CE;Caucaia;0;https://rigeo.sgb.gov.br/handle/doc/14882;https://rigeo.sgb.gov.br/bitstream/doc/14882/3/sig_caucaia_ce.zip
CE;Fortaleza;0;https://rigeo.sgb.gov.br/handle/doc/14883;https://rigeo.sgb.gov.br/bitstream/doc/14883/3/sig_fortaleza_ce.zip
CE;Jaguaruana;0;https://rigeo.sgb.gov.br/handle/doc/14884;https://rigeo.sgb.gov.br/bitstream/doc/14884/3/sig_jaguaruana_ce.zip
